Selected, Category, Month, Day, Date, Name
FALSE, Other, April, 16, 16-Apr-14, World Voice Day
FALSE, Other, April, 16, 16-Apr-14, Emancipation Day (Washington,  D.C.)
FALSE, Other, April, 17, 17-Apr-14, Maundy Thursday
FALSE, Other, April, 17, 17-Apr-14, World Hemophilia Day (International)
FALSE, Other, April, 18, 18-Apr-14, Good Friday
FALSE, Other, April, 18, 18-Apr-14, International Day For Monuments and Sites
FALSE, Other, April, 18, 18-Apr-14, World Heritage Day
FALSE, Other, April, 19, 19-Apr-14, Dutch-American Friendship Day (United States)
FALSE, Other, April, 20, 20-Apr-14, Easter Sunday
FALSE, Other, April, 20, 20-Apr-14, 4/20 (International cannabis culture holiday)
FALSE, Other, April, 21, 21-Apr-14, San Jacinto Day (Texas)
FALSE, Other, April, 21, 21-Apr-14, Patriot's Day
FALSE, Other, April, 21, 21-Apr-14, San Jacinto Day
FALSE, Other, April, 21, 21-Apr-14, Secretaries' Day
FALSE, Other, April, 22, 22-Apr-14, Last Day of Passover
FALSE, Other, April, 22, 22-Apr-14, International Mother Earth Day (International),  (aka Earth Day)
FALSE, Other, April, 23, 23-Apr-14, World Book Day 
FALSE, Other, April, 23, 23-Apr-14, International Pixel-Stained Technopeasant Day
FALSE, Other, April, 23, 23-Apr-14, UN English Language Day (United Nations)
FALSE, Other, April, 23, 23-Apr-14, World Book and Copyright Day
FALSE, Other, April, 24, 24-Apr-14, World Day for Laboratory Animals
FALSE, Other, April, 25, 25-Apr-14, Arbor Day
FALSE, Other, April, 25, 25-Apr-14, Malaria Awareness Day (International)
FALSE, Other, April, 25, 25-Apr-14, DNA Day
FALSE, Other, April, 26, 26-Apr-14, World Intellectual Property Day (International)
FALSE, Other, April, 27, 27-Apr-14, 
FALSE, Other, April, 28, 28-Apr-14, Confederate Memorial Day
FALSE, Other, April, 28, 28-Apr-14, Workers Memorial Day (International)
FALSE, Other, April, 28, 28-Apr-14, World Day for Safety and Health at Work (International)
FALSE, Other, April, 29, 29-Apr-14, International Dance Day (International)
FALSE, Other, April, 29, 29-Apr-14, Day of Remembrance for all Victims of Chemical Warfare (International)
FALSE, Other, April, 30, 30-Apr-14, International Jazz Day (UNESCO)
FALSE, Other, May, 1, 1-May-14, May day,  International Labor Day,  Worker's Day
FALSE, Other, May, 1, 1-May-14, National Day of Prayer
FALSE, Other, May, 2, 2-May-14, Basava Jayanthi
FALSE, Other, May, 3, 3-May-14, National Explosive Ordnance Disposal (EOD) Day
FALSE, Other, May, 3, 3-May-14, World Press Freedom Day (International)
FALSE, Other, May, 4, 4-May-14, Coal Miners Day
FALSE, Other, May, 4, 4-May-14, Yatra
FALSE, Other, May, 4, 4-May-14, International Firefighters' Day
FALSE, Other, May, 4, 4-May-14, Rhode Island Independence Day
FALSE, Other, May, 4, 4-May-14, Bird Day (United States)
FALSE, Other, May, 5, 5-May-14, Cinco de Mayo
FALSE, Other, May, 5, 5-May-14, International Midwives' Day (International)
FALSE, Other, May, 6, 6-May-14, Primary Election Day Indiana
FALSE, Other, May, 6, 6-May-14, National Teacher Appreciation Day
FALSE, Other, May, 6, 6-May-14, International No Diet Day
FALSE, Other, May, 7, 7-May-14, National Handlooms Day
FALSE, Other, May, 8, 8-May-14, Truman Day
FALSE, Other, May, 8, 8-May-14, World Red Cross and Red Crescent Day (International)
FALSE, Other, May, 9, 9-May-14, World Thalassaemia Day
FALSE, Other, May, 9, 9-May-14, Ravindranath Tagore Birthday
FALSE, Other, May, 9, 9-May-14, Confederate Memorial Day observed
FALSE, Other, May, 10, 10-May-14, Confederate Memorial Day
FALSE, Other, May, 10, 10-May-14, World Fair Trade Day
FALSE, Other, May, 11, 11-May-14, Mother's Day
FALSE, Other, May, 11, 11-May-14, National Technology Day (India)
FALSE, Other, May, 11, 11-May-14, Statehood Day (Minnesota)
FALSE, Other, May, 12, 12-May-14, International Nurses Day
FALSE, Other, May, 12, 12-May-14, World Hypertension Day
FALSE, Other, May, 13, 13-May-14, Hazrath Ali's Birthday
FALSE, Other, May, 13, 13-May-14, Primary Election Day West Virginia
FALSE, Other, May, 14, 14-May-14, Buddha Purnima
FALSE, Other, May, 15, 15-May-14, Peace Officers Memorial Day
FALSE, Other, May, 15, 15-May-14, Sir Arthur Thomas Cotton Birthday
FALSE, Other, May, 15, 15-May-14, International Day of Families (International)
FALSE, Other, May, 16, 16-May-14, National Defense Transportation Day
FALSE, Other, May, 17, 17-May-14, Armed Forces Day
FALSE, Other, May, 17, 17-May-14, World Information Society Day (International)
FALSE, Other, May, 17, 17-May-14, World Telecommunication Day
FALSE, Other, May, 18, 18-May-14,  Lag BaOmer
FALSE, Other, May, 18, 18-May-14, International Museum Day (International)
FALSE, Other, May, 18, 18-May-14, World AIDS Vaccine Day (International)
